Altitude (m),Air density (kg/m3)
-537,1.28941
-536,1.28929
-535,1.28917
-534,1.28904
-533,1.28892
-532,1.2888
-531,1.28868
-530,1.28855
-529,1.28843
-528,1.28831
-527,1.28819
-526,1.28806
-525,1.28794
-524,1.28782
-523,1.2877
-522,1.28758
-521,1.28745
-520,1.28733
-519,1.28721
-518,1.28709
-517,1.28697
-516,1.28684
-515,1.28672
-514,1.2866
-513,1.28648
-512,1.28635
-511,1.28623
-510,1.28611
-509,1.28599
-508,1.28587
-507,1.28574
-506,1.28562
-505,1.2855
-504,1.28538
-503,1.28526
-502,1.28513
-501,1.28501
-500,1.28489
-499,1.28477
-498,1.28465
-497,1.28452
-496,1.2844
-495,1.28428
-494,1.28416
-493,1.28404
-492,1.28392
-491,1.28379
-490,1.28367
-489,1.28355
-488,1.28343
-487,1.28331
-486,1.28318
-485,1.28306
-484,1.28294
-483,1.28282
-482,1.2827
-481,1.28257
-480,1.28245
-479,1.28233
-478,1.28221
-477,1.28209
-476,1.28197
-475,1.28184
-474,1.28172
-473,1.2816
-472,1.28148
-471,1.28136
-470,1.28124
-469,1.28111
-468,1.28099
-467,1.28087
-466,1.28075
-465,1.28063
-464,1.28051
-463,1.28038
-462,1.28026
-461,1.28014
-460,1.28002
-459,1.2799
-458,1.27978
-457,1.27965
-456,1.27953
-455,1.27941
-454,1.27929
-453,1.27917
-452,1.27905
-451,1.27892
-450,1.2788
-449,1.27868
-448,1.27856
-447,1.27844
-446,1.27832
-445,1.2782
-444,1.27807
-443,1.27795
-442,1.27783
-441,1.27771
-440,1.27759
-439,1.27747
-438,1.27734
-437,1.27722
-436,1.2771
-435,1.27698
-434,1.27686
-433,1.27674
-432,1.27662
-431,1.2765
-430,1.27637
-429,1.27625
-428,1.27613
-427,1.27601
-426,1.27589
-425,1.27577
-424,1.27565
-423,1.27552
-422,1.2754
-421,1.27528
-420,1.27516
-419,1.27504
-418,1.27492
-417,1.2748
-416,1.27468
-415,1.27455
-414,1.27443
-413,1.27431
-412,1.27419
-411,1.27407
-410,1.27395
-409,1.27383
-408,1.27371
-407,1.27358
-406,1.27346
-405,1.27334
-404,1.27322
-403,1.2731
-402,1.27298
-401,1.27286
-400,1.27274
-399,1.27262
-398,1.27249
-397,1.27237
-396,1.27225
-395,1.27213
-394,1.27201
-393,1.27189
-392,1.27177
-391,1.27165
-390,1.27153
-389,1.27141
-388,1.27128
-387,1.27116
-386,1.27104
-385,1.27092
-384,1.2708
-383,1.27068
-382,1.27056
-381,1.27044
-380,1.27032
-379,1.2702
-378,1.27008
-377,1.26995
-376,1.26983
-375,1.26971
-374,1.26959
-373,1.26947
-372,1.26935
-371,1.26923
-370,1.26911
-369,1.26899
-368,1.26887
-367,1.26875
-366,1.26862
-365,1.2685
-364,1.26838
-363,1.26826
-362,1.26814
-361,1.26802
-360,1.2679
-359,1.26778
-358,1.26766
-357,1.26754
-356,1.26742
-355,1.2673
-354,1.26718
-353,1.26706
-352,1.26693
-351,1.26681
-350,1.26669
-349,1.26657
-348,1.26645
-347,1.26633
-346,1.26621
-345,1.26609
-344,1.26597
-343,1.26585
-342,1.26573
-341,1.26561
-340,1.26549
-339,1.26537
-338,1.26525
-337,1.26513
-336,1.26501
-335,1.26488
-334,1.26476
-333,1.26464
-332,1.26452
-331,1.2644
-330,1.26428
-329,1.26416
-328,1.26404
-327,1.26392
-326,1.2638
-325,1.26368
-324,1.26356
-323,1.26344
-322,1.26332
-321,1.2632
-320,1.26308
-319,1.26296
-318,1.26284
-317,1.26272
-316,1.2626
-315,1.26248
-314,1.26236
-313,1.26224
-312,1.26211
-311,1.26199
-310,1.26187
-309,1.26175
-308,1.26163
-307,1.26151
-306,1.26139
-305,1.26127
-304,1.26115
-303,1.26103
-302,1.26091
-301,1.26079
-300,1.26067
-299,1.26055
-298,1.26043
-297,1.26031
-296,1.26019
-295,1.26007
-294,1.25995
-293,1.25983
-292,1.25971
-291,1.25959
-290,1.25947
-289,1.25935
-288,1.25923
-287,1.25911
-286,1.25899
-285,1.25887
-284,1.25875
-283,1.25863
-282,1.25851
-281,1.25839
-280,1.25827
-279,1.25815
-278,1.25803
-277,1.25791
-276,1.25779
-275,1.25767
-274,1.25755
-273,1.25743
-272,1.25731
-271,1.25719
-270,1.25707
-269,1.25695
-268,1.25683
-267,1.25671
-266,1.25659
-265,1.25647
-264,1.25635
-263,1.25623
-262,1.25611
-261,1.25599
-260,1.25587
-259,1.25575
-258,1.25563
-257,1.25551
-256,1.25539
-255,1.25527
-254,1.25515
-253,1.25503
-252,1.25491
-251,1.25479
-250,1.25467
-249,1.25455
-248,1.25443
-247,1.25431
-246,1.25419
-245,1.25407
-244,1.25395
-243,1.25383
-242,1.25371
-241,1.25359
-240,1.25347
-239,1.25335
-238,1.25324
-237,1.25312
-236,1.253
-235,1.25288
-234,1.25276
-233,1.25264
-232,1.25252
-231,1.2524
-230,1.25228
-229,1.25216
-228,1.25204
-227,1.25192
-226,1.2518
-225,1.25168
-224,1.25156
-223,1.25144
-222,1.25132
-221,1.2512
-220,1.25108
-219,1.25096
-218,1.25084
-217,1.25072
-216,1.2506
-215,1.25049
-214,1.25037
-213,1.25025
-212,1.25013
-211,1.25001
-210,1.24989
-209,1.24977
-208,1.24965
-207,1.24953
-206,1.24941
-205,1.24929
-204,1.24917
-203,1.24905
-202,1.24893
-201,1.24881
-200,1.24869
-199,1.24857
-198,1.24846
-197,1.24834
-196,1.24822
-195,1.2481
-194,1.24798
-193,1.24786
-192,1.24774
-191,1.24762
-190,1.2475
-189,1.24738
-188,1.24726
-187,1.24714
-186,1.24702
-185,1.2469
-184,1.24679
-183,1.24667
-182,1.24655
-181,1.24643
-180,1.24631
-179,1.24619
-178,1.24607
-177,1.24595
-176,1.24583
-175,1.24571
-174,1.24559
-173,1.24548
-172,1.24536
-171,1.24524
-170,1.24512
-169,1.245
-168,1.24488
-167,1.24476
-166,1.24464
-165,1.24452
-164,1.2444
-163,1.24428
-162,1.24417
-161,1.24405
-160,1.24393
-159,1.24381
-158,1.24369
-157,1.24357
-156,1.24345
-155,1.24333
-154,1.24321
-153,1.24309
-152,1.24298
-151,1.24286
-150,1.24274
-149,1.24262
-148,1.2425
-147,1.24238
-146,1.24226
-145,1.24214
-144,1.24202
-143,1.24191
-142,1.24179
-141,1.24167
-140,1.24155
-139,1.24143
-138,1.24131
-137,1.24119
-136,1.24107
-135,1.24096
-134,1.24084
-133,1.24072
-132,1.2406
-131,1.24048
-130,1.24036
-129,1.24024
-128,1.24012
-127,1.24001
-126,1.23989
-125,1.23977
-124,1.23965
-123,1.23953
-122,1.23941
-121,1.23929
-120,1.23917
-119,1.23906
-118,1.23894
-117,1.23882
-116,1.2387
-115,1.23858
-114,1.23846
-113,1.23834
-112,1.23823
-111,1.23811
-110,1.23799
-109,1.23787
-108,1.23775
-107,1.23763
-106,1.23751
-105,1.2374
-104,1.23728
-103,1.23716
-102,1.23704
-101,1.23692
-100,1.2368
-99,1.23669
-98,1.23657
-97,1.23645
-96,1.23633
-95,1.23621
-94,1.23609
-93,1.23597
-92,1.23586
-91,1.23574
-90,1.23562
-89,1.2355
-88,1.23538
-87,1.23526
-86,1.23515
-85,1.23503
-84,1.23491
-83,1.23479
-82,1.23467
-81,1.23455
-80,1.23444
-79,1.23432
-78,1.2342
-77,1.23408
-76,1.23396
-75,1.23384
-74,1.23373
-73,1.23361
-72,1.23349
-71,1.23337
-70,1.23325
-69,1.23314
-68,1.23302
-67,1.2329
-66,1.23278
-65,1.23266
-64,1.23254
